"S. No.","NETC Plaza Code","Fee Plaza Name","State","District","Section of Highway","National Highway","PIU","NHAI Regional Office"
"27","15001","Pantangi","Telangana","Yadadri-Bhuvanagiri","Hyderabad-Vijayawada","65","Hyderabad","Hyderabad"
"28","15002","Koralaphad","Telangana","Nalgonda","Hyderabad-Vijayawada","65","Hyderabad","Hyderabad"
"29","15003","Chillakallu","Andhra Pradesh","Krishna","Hyderabad-Vijayawada","65","Hyderabad","Hyderabad"
"30","16001","Vanagiri","Karnataka","Koppal","Hungund Hospet","13","Hospet","Bangalore"
"31","16002","Shahapur","Karnataka","Koppal","Hunqund Hospet","13","Hospet","Bangalore"
"32","16003","Hitnal","Karnataka","Koppal","Hungund Hospet","13","Hospet","Bangalore"
"33","17001","Karjeevanhally Toll Plaza","Karnataka","Sira","Tumkur-Chitradurga including Tumkur Bypass","4","Chitradurga","Bangalore"
"34","17002","Guitalu Toll Plaza","Karnataka","Chitradurga","Tumkur-Chitradurga including Tumkur Bypass","4","Chitradurga","Bangalore"
"35","18001","Vikkravandi Toll Plaza","Tamil Nadu","Viluppuram","Tindivanam-Ulundurpet","132 & 38/ 45","Viluppuram","Chennai"
"36","19001","Sengurichi Toll Plaza","Tamil Nadu","VILLUPURAM","Ulundurpet Padalur","45","Trichy","Madurai"
"37","19002","Thirumandurai Toll Plaza","Tamil Nadu","Perambalur","Ulundurpet-Padalur","45","Trichy","Madurai"
"54","32001","Omalur Toll Plaza","Tamil Nadu","Salem","Thumbipadi-Namakkal","44 (NH-7)","Salem","Chennai"
"58","34001","Raikal Toll Plaza","Telangana","Ajmer","Thondapali Jedcherla","44","Hyderabad","Hyderabad"
"59","35001","ELECTRONIC CITY Phase 1","Karnataka","Bangalore Urban","Silk Board Junction Hosur","7","Bangalore Expressway","Bangalore"
"60","35002","Attibele Toll Plaza","Karnataka","Bangalore Urban","Silk Board Junction - Hosur","3","Bangalore Expressway","Bangalore"
"61","36001","Samayapuram Toll Plaza","Tamil Nadu","Tiruchirappalli","Padalur-Trichy","45","Trichy","Madurai"
"66","42001","Vijayamangalam Toll Plaza","Tamil Nadu","Tiruppur","Kumarapalayam Chengalpalli","544 (NH-47)","Salem","Chennai"
"67","43001","Vaiguntham Toll Plaza","Tamil Nadu","Salem","Salem Kumarapalayam","544 (NH-47)","Salem","Chennai"
"70","45001","Guduru Toll Plaza","Telangana","Yadadri Bhongir","Hyderabad-Yadhgin","163","Warangal","Hyderabad"
"71","46001","Bijapur Toll Plaza","Karnataka","Vijayapura","Bijapur Hungund","13 (New NH-50)","Gulbarga","Bangalore"
"72","46002","Nagarhalla Toll Plaza","Karnataka","Bagalkot","Hunqund Bijapur","13 (New NH-50)","Gulbarga","Bangalore"
"74","48001","Sullurpet Plaza (NH-16), (old NH-5)","Andhra Pradesh","Tirupati","Tada Nellore","S","Nellore","Vijayawada"
"75","48002","Budhanam Plaza (NH-16), (old NH-5)","Andhra Pradesh","Tirupati","Tada-Nellore","5","Nellore","Vijayawada"
"76","48003","Neliore Plaza (NH-16), (old NH-5)","Andhra Pradesh","Nellore","Tada Nellore","5","Nellore","Vijayawada"
"77","48004","Keesara Plaza (NH-65), (old NH 9)","Andhra Pradesh","NTR","Nandigama Vijayawada","9","Vijayawada","Vijayawada"
"78","49001","Kaza Toll Plaza","Andhra Pradesh","Guntur","Vijayawada-Chilakaluripet","S","Amaravati (AP)","Vijayawada"
"88","55001","Ponnambalapatti Plaza","Tamil Nadu","Tiruchirappalli","Trichy Dindigul","45","Trichy","Madurai"
"89","56001","Kozhinjiipatti Plaza","Tamil Nadu","Dindigul","Dindigul Bypass - Samyanallore","7","Madurai","Madurai"
"90","57001","Rasampalayam Plaza","Tamil Nadu","Namakkal","Nammakal Karur","44 (NH-7)","Salem","Chennai"
"91","58001","Mettupatti Plaza","Tamil Nadu","Salem","Salem-Ulundrupet","68 (New NH 791)","Salem","Chennai"
"92","58002","Nathakkarai Plaza","Tamil Nadu","Salem","Salem Ulundrupet","68 (New NH 79)","Salem","Chennai"
"93","58003","Veeracholapuram Plaza","Tamil Nadu","Kallakurichi","Salem Ulundrupet","68 (New NH 79)","Salem","Chennai"
"94","59001","Thiruparaithurai Plaza","Tamil Nadu","Tiruchirappalli","Trichy-Karur","81","Trichy","Madurai"
"95","59002","Manavasi Plaza","Tamil Nadu","Dindigul","Trichy-Karur","81","Trichy","Madurai"
"96","60001","Krishnagiri Plaza","Tamil Nadu","Krishnagiri","Hosur Krishnagin","44 (NH-7)","Krishnagiri","Chennai"
"101","63101","Karapadu","Andhra Pradesh","Srikakulam","Icchapuram-Puintola","","Berhampur","Bhubaneswar"
"102","69001","Vempadu","Andhra Pradesh","Anakapalli","Ankapalli Tuni","16( old 5)","Rajahmundry","Vijayawada"
"103","70001","Krishnavaram","Andhra Pradesh","Kakinada","Tuni Diwancheruvu","16 (old 5)","Rajahmundry","Vijayawada"
"104","73001","Bollapalli Toll Plata","Andhra Pradesh","Bapatla","Chilakalurinet Nellore","5","Ongale","Vijayawada"
"105","73002","Tangatur Toll Plaza","Andhra Pradesh","Prakasam","Chilakaluripet-Nellore","","Ongole","Vijayawada"
"106","73003","Musunur Toll Plaza","Andhra Pradesh","Nellore","Chilakaluripet Nellore","","Ongole","Vijayawada"
"107","78001","Indalwal","Telangana","Kamareddy","Armur-Adloor - Yellareddy","5544","Kamareddy","Hyderabad"
"108","79001","Sakapur Toll plaza","Telangana","Mahabubnagar","Jatcheria Kotakatta","","Hyderabad","Hyderabad"
"123","111001","Hirebgewadi toll plaza","Karnataka","Belagavi","Belqum Dharwad","4","Dharwad","Bangalore"
"124","115001","Kulumapalya toll plaza","Karnataka","Bangalore Rural","Neelmangla Tumkur","4","Tumkur","Bangalore"
"125","115002","Chokkenahalli toll plaza","Karnataka","Tumkur","Neelmangla Tumkur","4","Tumkur","Bangalore"
"126","116001","Banglaore-Nelamangala Plaza","Karnataka","Bangalore Urban & Rural","Banglore Neelamangla","4","Bangalore","Bangalore"
"127","116003","Devanahalli Toll Plaza","Karnataka","Bagalore Rural","Devanhalli Bangalore","","Bangalore","Bangalore"
"128","118001","Nelamangala Toll Plaza","Karnataka","Bagalore Rural","Neelamangia Junction - Devihalli","48","Hasan","Bangalore"
"129","118002","Bellur Toll Plaza","Karnataka","Mandya","Neelamangla Junction - Devihalli","48","Hasan","Bangalore"
"130","119001","Hoskote Toll Plaza","Karnataka","Bangalore Urban","Banglore-Hoskote-Mulbagal (Banglore-Kolar-Mulbagal)","4","Bangalore","Bangalore"
"131","119002","Mulbagal Toll Plaza","Karnataka","Kolar","Banglore-Hoskote-Mulbagal (Banglore-Kolar-Mulbagai)","4","Bangalore","Bangalore"
"132","120001","Shantigrama Toll Plaza","Karnataka","Hassan","Devihalli Hassan","48","Hasan","Bangalore"
"133","120002","Kadabhalli (Kirasave) Toll Plaza","Karnataka","Mandya","Devihalli Hassan","48","Hasan","Bangalore"
"134","123001","Pallyekkara Toll plaza","Kerala","Thrissur","Thrissur-Angamali-Edapalli","544","Palakkad","Kerala"
"135","124001","Kumbalam Toll Plaza","Kerala","Ernakulam","Edapalli Vyttila - Aroor","66","/Kochi Cochin","Kerala"
"166","167001","Vaniyambadi Toll Plaza","Tamil Nadu","Tirupathur","Krishnagiri-walajhapet","48 (NH-46)","Krishnagin","Chennai"
"167","167002","Pallikonda Toll Plaza","Tamil Nadu","Vellore","Krishnagiri -walajhapet","48 NH-46","Krishnagiri","Chennai"
"168","169001","L&T Krishnagiri Thopur Toll Plaza","Tamil Nadu","Dharmapuri","Krishnagini Thopurghat","44 (NH-7)","Salem","Chennai"
"169","170001","Velanchettiyur","Tamil Nadu","Dindigul","Karur Bypass Dindigul Bypass","7","Dindigul","Madurai"
"170","176001","Vaivanthankottai","Tamil Nadu","Thanjavur","Thanjavur Trichy","67","Thanjavur","Madurai"
"171","176002","Elliyarpathy","Tamil Nadu","Virudhunagar","Madurai Tuticorin","458","Tuticorin","Madurai"
